name,union,gruene,spd,linke,afd,fdp,bsw
Flensburg – Schleswig,24.86,15.95,15.92,8.29,15.26,3.68,3.15
Nordfriesland – Dithmarschen Nord,29.63,12.27,17.42,6.17,16.07,4.98,3.21
Steinburg – Dithmarschen Süd,29.23,11.03,17.59,6.64,20.36,5.11,3.67
Rendsburg-Eckernförde,29.26,14.7,17.72,6.34,16.02,4.64,3.18
Kiel,19.75,22.94,19.29,13.7,10.75,3.95,3.28
Plön – Neumünster,28.61,13.99,19.17,6.77,18,4.31,3.53
Pinneberg,28.87,14.53,20.23,7.56,15.6,5.06,3.57
Segeberg – Stormarn-Mitte,29.01,13.69,19.13,7.07,17.2,5.21,3.68
Ostholstein – Stormarn-Nord,31.15,12.73,19.67,5.96,17.66,5.1,3.09
Herzogtum Lauenburg – Stormarn-Süd,29.72,13.94,19.26,6.89,17.18,5.36,3.7
Lübeck,22.53,17.9,21.12,10.5,15.65,3.9,3.73
Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,18.9,5.57,14.49,11.48,32.26,3.29,10.36
Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,18.43,4.79,14.23,10.72,34.77,3.04,10.51
Rostock – Landkreis Rostock II,16.8,8.95,14.26,17.27,25.62,3.4,9.89
Vorpommern-Rügen – Vorpommern-Greifswald I,17.65,6.2,10.35,12.54,35.47,3.35,10.14
Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,17.31,2.83,9.77,9.48,42.85,3.15,11.39
Mecklenburgische Seenplatte II – Landkreis Rostock III,17.9,3.37,11.41,10.29,39.83,2.91,11.15
Hamburg-Mitte,15.71,20.27,22.2,18.98,10.52,4.11,4.52
Hamburg-Altona,19.52,23.69,20.55,18,7.33,4.67,3.32
Hamburg-Eimsbüttel,20.19,23.96,22.35,14.54,7.54,4.91,3.26
Hamburg-Nord,26.09,21.07,22.52,10.19,8.33,5.85,3.01
Hamburg-Wandsbek,22.32,14.51,24.88,11.45,14.13,4.11,4.73
Hamburg-Bergedorf – Harburg,20.39,12.55,23.75,13.9,17.3,3.29,5.17
Aurich – Emden,23.28,8.24,28.63,7.55,21,3.27,4.17
Unterems,32.78,7.23,21.75,6.57,20.88,3.91,3.72
Friesland – Wilhelmshaven – Wittmund,26.43,8.39,25.49,7.27,20.2,3.98,4.08
Oldenburg – Ammerland,23.85,16.49,23.82,11.23,12.9,4.43,3.81
Delmenhorst – Wesermarsch – Oldenburg-Land,26.13,10.01,23.81,7.4,19.53,4.91,4.14
Cuxhaven – Stade II,29.77,8.85,23.99,6.01,20.04,3.77,3.71
Stade I – Rotenburg II,30.69,10.94,21.99,7.09,18.33,4.02,3.31
Mittelems,39.28,8.69,21.23,6.35,14.34,4.49,2.93
Cloppenburg – Vechta,39.54,7.13,15.61,6.19,20.6,4.53,3.34
Diepholz – Nienburg I,30.42,10.26,22.82,6.81,17.57,4.57,3.67
Osterholz – Verden,28.01,12.36,22.98,7.29,17.64,4.2,3.95
Rotenburg I – Heidekreis,28.09,9.23,24.78,7.05,19.82,3.69,3.44
Harburg,30.4,12.9,20.49,7.05,16.81,4.86,3.57
